model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
3group	post_vs_peri	ENSG00000184160.8	ADRA2C	1593.3710229980393	-0.4356798083450406	0.1519044797314853	-2.8681169187055717	0.0041292290927862985	0.39935031278234095
3group	post_vs_peri	ENSG00000120738.8	EGR1	14513.487655685174	0.315609772960216	0.2343491495170625	1.3467502383115626	0.17806068619751536	0.9096806273177532
3group	post_vs_peri	ENSG00000105221.18	AKT2	10732.98118320188	0.0832457970715465	0.06302766882676478	1.3207817871283234	0.18657413418642363	0.9134211202322772
3group	post_vs_peri	ENSG00000109819.9	PPARGC1A	552.734809573258	0.16282929868582546	0.1256279636397043	1.2961230443312208	0.19493309687719984	0.9181557167986428
3group	post_vs_peri	ENSG00000099246.18	RAB18	4660.56483963229	-0.052609735195460555	0.04322981375296468	-1.2169780674073019	0.2236125607647383	0.928385537150596
3group	post_vs_peri	ENSG00000175387.16	SMAD2	6194.826194371923	-0.038397470843497886	0.03436479281046859	-1.1173491152782626	0.263845082862666	0.9368863888974467
3group	post_vs_peri	ENSG00000266524.3	GDF10	1293.4354028615637	-0.20920535392620676	0.18805753334594524	-1.1124539932221624	0.26594300073322136	0.9370522800671762
3group	post_vs_peri	ENSG00000068976.14	PYGM	1081.235948694287	0.18366528975716723	0.16692732520008968	1.1002709684409928	0.2712140773580181	0.9394274649505572
3group	post_vs_peri	ENSG00000169047.6	IRS1	2808.9511877267178	-0.08681976783829827	0.08011821006310517	-1.0836458748880513	0.2785218423410826	0.9397446098075123
3group	post_vs_peri	ENSG00000274286.2	ADRA2B	1004.9337243189708	-0.15768087077114	0.14674321960568756	-1.074535990111454	0.2825825232001557	0.9410610698750462
3group	post_vs_peri	ENSG00000109424.4	UCP1	1.440330733738168	-0.45250339096306796	0.4287745904123647	-1.0553409672151575	0.2912694110527708	0.9416410285126364
3group	post_vs_peri	ENSG00000115170.16	ACVR1	2707.0612332144538	-0.05420913972214573	0.05253866295457028	-1.031795189935075	0.3021680730816505	0.9449860836275523
3group	post_vs_peri	ENSG00000175564.13	UCP3	128.41560292207507	0.08083917659573445	0.07860723214371663	1.0283936272929337	0.3037647049978738	0.9449860836275523
3group	post_vs_peri	ENSG00000174697.5	LEP	52248.44258841033	-0.27112024301787474	0.2753221748042905	-0.9847381280152874	0.3247527190788721	0.9458454530937205
3group	post_vs_peri	ENSG00000211448.14	DIO2	261.4222843670624	0.16475562051548293	0.18493612261084244	0.8908785270802667	0.37299434117111124	0.952261224477595
3group	post_vs_peri	ENSG00000164136.17	IL15	912.7292754902586	0.08732363736351663	0.09891561347475213	0.8828094402488409	0.37733923908065353	0.9526880860896985
3group	post_vs_peri	ENSG00000011198.10	ABHD5	4994.994907703358	-0.12306871564202407	0.14548242998540364	-0.8459352490494669	0.3975888671501892	0.9584815960045634
3group	post_vs_peri	ENSG00000136856.18	SLC2A8	1585.1793044010362	-0.045617608098885896	0.06626842276105384	-0.6883762461552881	0.4912158783631797	0.9756893505295314
3group	post_vs_peri	ENSG00000163581.14	SLC2A2	0.7866396147950467	0.33490017812826817	0.5466294992153269	0.612663931619148	0.5400985761457768	0.9763228211757207
3group	post_vs_peri	ENSG00000111537.5	IFNG	6.039013243863505	0.25262729873986944	0.39544699516839554	0.6388398491491677	0.5229271218214843	0.9763228211757207
3group	post_vs_peri	ENSG00000104812.15	GYS1	5058.300621838761	0.07809614251263257	0.12494196994909751	0.6250593178933359	0.5319321271844256	0.9763228211757207
3group	post_vs_peri	ENSG00000170323.9	FABP4	218888.89330278288	-0.09479593529303469	0.15784917521567604	-0.6005475490354065	0.5481413818344689	0.9764179886972875
3group	post_vs_peri	ENSG00000176194.18	CIDEA	7945.947755404356	-0.11855186009955174	0.20625193874345707	-0.5747914944305587	0.5654323198309906	0.9785178990672023
3group	post_vs_peri	ENSG00000119508.18	NR4A3	1465.6954433155645	0.08895856254639176	0.20126397923922493	0.44199942226450006	0.6584896239945761	0.9791826623676411
3group	post_vs_peri	ENSG00000061273.18	HDAC7	13509.493117648752	0.026088010826468888	0.05086469046086962	0.5128903880097037	0.6080279974806279	0.9791826623676411
3group	post_vs_peri	ENSG00000166819.12	PLIN1	86921.82317240826	-0.07706882855275285	0.17211852030376965	-0.44776604177595253	0.6543220535076317	0.9791826623676411
3group	post_vs_peri	ENSG00000108840.16	HDAC5	5952.6463143624205	-0.025571822943410774	0.054025126345052216	-0.47333203406293783	0.6359763111447178	0.9791826623676411
3group	post_vs_peri	ENSG00000153234.15	NR4A2	2173.0925763348173	0.06262579717045647	0.17363072990823253	0.360683832888081	0.7183358118066949	0.9835012173400572
3group	post_vs_peri	ENSG00000181856.15	SLC2A4	2191.235545758943	-0.052202318030506255	0.15093087670984098	-0.345869043952241	0.7294411338535041	0.984063846967306
3group	post_vs_peri	ENSG00000123689.6	G0S2	28505.375413914513	0.0574258168422066	0.18956361098522956	0.30293692203764316	0.7619379328898951	0.9870739496962603
3group	post_vs_peri	ENSG00000079435.10	LIPE	56013.4547318109	-0.05295973371403859	0.18552310834748642	-0.2854616558862551	0.77529047693639	0.9885410104563775
3group	post_vs_peri	ENSG00000155846.17	PPARGC1B	1012.8923185736319	0.028176457185510595	0.10344503865189386	0.2723809430854202	0.7853291241650837	0.9901383592628356
3group	post_vs_peri	ENSG00000170345.10	FOS	20217.26852625479	0.05336909528415814	0.21711364204140343	0.24581180059602467	0.8058279217402037	0.9918784555553382
3group	post_vs_peri	ENSG00000169710.9	FASN	139849.36619595316	0.057534442125657316	0.22992901769575733	0.25022697309909375	0.8024118270939572	0.9918784555553382
3group	post_vs_peri	ENSG00000150594.7	ADRA2A	9563.32972758332	-0.02501544025346092	0.1134973103485093	-0.22040557768855953	0.8255553018509071	0.9928445141853145
3group	post_vs_peri	ENSG00000175445.17	LPL	75848.03842267237	0.029712859874067174	0.17304799305276025	0.1717030018661244	0.863671025718401	0.994029000770547
3group	post_vs_peri	ENSG00000169252.6	ADRB2	3019.792093851566	-0.02165579520702969	0.13609473313116652	-0.1591229484697111	0.8735720083046997	0.9953814167898002
3group	post_vs_peri	ENSG00000173757.10	STAT5B	11298.942392539746	-0.0062265700198698825	0.03933187570121696	-0.15830849429022342	0.8742137150721092	0.9953814167898002
3group	post_vs_peri	ENSG00000074416.16	MGLL	32429.72904340753	0.012366590309455758	0.09153335224343338	0.13510474604455383	0.8925290577852285	0.9955528314690023
3group	post_vs_peri	ENSG00000112715.26	VEGFA	18095.18175929056	0.025307772707556304	0.18358614937183007	0.13785229873904417	0.8903571504641379	0.9955528314690023
3group	post_vs_peri	ENSG00000043591.6	ADRB1	307.7072926124653	0.02805217435223954	0.21514728405610975	0.13038590970510983	0.8962611138508249	0.9955528314690023
3group	post_vs_peri	ENSG00000123358.20	NR4A1	16238.200010532953	-0.016892414291284925	0.17469592194591466	-0.09669609973216642	0.9229677372801235	0.9973914255917663
3group	post_vs_peri	ENSG00000110395.7	CBL	3775.8208786175524	-0.0038601777370823103	0.055595539902349035	-0.06943322690745574	0.9446447814820372	0.9977796740452367
3group	post_vs_peri	ENSG00000245848.3	CEBPA	5638.833110054033	0.012306569601549841	0.17486068115457853	0.07037928435535896	0.9438917790464283	0.9977796740452367
3group	post_vs_peri	ENSG00000177606.8	JUN	43304.40644416174	-0.007232307950523562	0.16593457834170158	-0.043585297427462026	0.9652349715137956	0.998199323968705
3group	post_vs_peri	ENSG00000188778.6	ADRB3	15.383305974390195	0.01580560110572458	0.37512170939946354	0.04213459447875715	0.9663914022424724	0.998199323968705
3group	post_vs_peri	ENSG00000177666.17	PNPLA2	62022.33184851262	-0.004046324797461326	0.13451919206456084	-0.03007990707764095	0.9760033253087048	0.9988510751656777
