depot	marker	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	adipocyte	base	peri_vs_pre	180	-0.012671035336744732	0.15127257351933568	-0.08376293892511268	0.9333401111696995	-0.30916527943464267	0.2838232087611532
visceral	adipocyte	base	post_vs_pre	180	-0.22448028795834368	0.15222533814386682	-1.4746578374895074	0.14209109932529654	-0.5228419507203226	0.07388137480363527
visceral	adipocyte	rin_isch	peri_vs_pre	180	0.06424523310286198	0.14216462249651673	0.45190731684625757	0.6518985710763407	-0.2143974269903108	0.34288789319603474
visceral	adipocyte	rin_isch	post_vs_pre	180	-0.12577164124137588	0.14350560788059297	-0.8764231802427329	0.3820083764947978	-0.4070426326873381	0.15549935020458636
visceral	macrophage_mono	base	peri_vs_pre	180	0.284750255390251	0.16252462895723943	1.752043719264047	0.08150791865757412	-0.03379801736593829	0.6032985281464402
visceral	macrophage_mono	base	post_vs_pre	180	0.18163275973738083	0.163548262742816	1.1105759039642211	0.26826589271715034	-0.13892183523853854	0.5021873547133002
visceral	macrophage_mono	rin_isch	peri_vs_pre	180	0.3753413657213787	0.14977200283703795	2.5060849732361223	0.013125460804437815	0.08178824016078434	0.6688944912819731
visceral	macrophage_mono	rin_isch	post_vs_pre	180	0.3006366987426087	0.15118474577702792	1.9885385737658827	0.04831990742220481	0.004314597019633937	0.5969588004655835
visceral	endothelial	base	peri_vs_pre	180	0.10587165463750467	0.1362914027632598	0.776803617036691	0.43831740799901764	-0.16125949477848453	0.37300280405349384
visceral	endothelial	base	post_vs_pre	180	-0.15859054518736443	0.13714981102696241	-1.1563307597717867	0.24911306494093088	-0.42740417480021076	0.1102230844254819
visceral	endothelial	rin_isch	peri_vs_pre	180	0.06137728731628113	0.13414094329343593	0.4575581907309025	0.6478407034493957	-0.2015389615388533	0.32429353617141554
visceral	endothelial	rin_isch	post_vs_pre	180	-0.207169244299501	0.1354062443310911	-1.5299829437181438	0.127836919097525	-0.47256548318843955	0.05822699458943753
visceral	fibroblast_ecm	base	peri_vs_pre	180	0.05604987376835609	0.14518617305928005	0.38605517720665256	0.6999220751984421	-0.2285150254278328	0.34061477296454495
visceral	fibroblast_ecm	base	post_vs_pre	180	-0.02496887254392474	0.14610060352373075	-0.1709019123926419	0.8644972098691193	-0.311326055450437	0.2613883103625875
visceral	fibroblast_ecm	rin_isch	peri_vs_pre	180	0.07140460955099844	0.1444806461607798	0.49421574064348056	0.6217771724585961	-0.21177745692412997	0.3545866760261268
visceral	fibroblast_ecm	rin_isch	post_vs_pre	180	-0.0241090170393829	0.14584347772450618	-0.16530747494189688	0.868893876765176	-0.309962233379415	0.2617441993006492
visceral	t_cell	base	peri_vs_pre	180	0.321036667004156	0.1651541337203057	1.9438609241706466	0.05350686032622362	-0.0026654350876431643	0.6447387690959552
visceral	t_cell	base	post_vs_pre	180	0.3366112473793944	0.1661943289952521	2.0254075419686	0.04433611437950409	0.010870362548700274	0.6623521322100885
visceral	t_cell	rin_isch	peri_vs_pre	180	0.3137453091267709	0.16654693443773583	1.883825182288574	0.06125670003397733	-0.012686682371191305	0.6401773006247331
visceral	t_cell	rin_isch	post_vs_pre	180	0.31986634745678927	0.16811790899470888	1.9026310127783965	0.05874028850886878	-0.009644754172840109	0.6493774490864186
