cell_type	cib_mean	depot	ref_pct
adipocyte	0.08289788855491842	Subcutaneous	0.1885215439660135
aspc	0.13760292051003123	Subcutaneous	0.2297294343114894
b_cell	4.225997177785688e-5	Subcutaneous	0.002718044756651194
dendritic_cell	0.06472357849662157	Subcutaneous	0.007075660747207264
endothelial	0.1737912200339503	Subcutaneous	0.10784006529137002
lec	0	Subcutaneous	0.019565550057931518
macrophage	0.06794039168190094	Subcutaneous	0.1213501322587462
mast_cell	0	Subcutaneous	0.007862654939481604
mesothelium	5.454517158680378e-5	Subcutaneous	0.22212182378617076
monocyte	0.03550703158733318	Subcutaneous	0.008766240863944735
nk_cell	0.11335032989316216	Subcutaneous	0.013743250431753758
pericyte	0.0614269210700479	Subcutaneous	0.010209063549781025
smc	0.1017050136048581	Subcutaneous	0.020388979166514856
t_cell	0.1609578994238115	Subcutaneous	0.04010755587294416
adipocyte	0.0665568082784112	Visceral	0.1885215439660135
aspc	0.13363459821320167	Visceral	0.2297294343114894
b_cell	6.770249994100719e-4	Visceral	0.002718044756651194
dendritic_cell	0.03168074814704083	Visceral	0.007075660747207264
endothelial	0.1795804298964376	Visceral	0.10784006529137002
lec	9.433558791437897e-5	Visceral	0.019565550057931518
macrophage	0.08723638062891907	Visceral	0.1213501322587462
mast_cell	0	Visceral	0.007862654939481604
mesothelium	0.014755776056430915	Visceral	0.22212182378617076
monocyte	0.04749411454867894	Visceral	0.008766240863944735
nk_cell	0.10812213689604784	Visceral	0.013743250431753758
pericyte	0.11788228846656863	Visceral	0.010209063549781025
smc	0.039299584062632745	Visceral	0.020388979166514856
t_cell	0.17298577421830616	Visceral	0.04010755587294416
