depot	sex	age_bin_label	n	adipocyte	aspc	b_cell	dendritic_cell	endothelial	lec	macrophage	mast_cell	mesothelium	monocyte	nk_cell	pericyte	smc	t_cell	P-value
subcutaneous	Male	20-29	38	1.1567137028980184e-4	0.29409328089621106	5.132354917408029e-4	0.007616742800542166	0.24521826694821267	0	0.11053006424847665	0	0	0.1798577061393503	0.01270616030383048	0.12591615511005916	0.0101893011590996	0.013243415532187164	9999
subcutaneous	Male	30-39	44	0	0.32703675084388845	0	0.0069174442123907465	0.2359792311088035	0	0.1059967704835816	0	0	0.176896355078693	0.009809886029688969	0.10156854776888387	0.02419526446518259	0.01159975000888733	9999
subcutaneous	Male	40-49	66	0	0.34731171481498146	2.7368372222018637e-4	0.0034546170505024907	0.23195329898833056	0	0.11506835136689561	0	0	0.1768280425576001	0.00830773592018818	0.08225665732424566	0.02291098420630586	0.01163491404872981	9999
subcutaneous	Male	50-59	156	0	0.3709263614908587	1.2960757104594307e-4	0.0066750065026188	0.21814189469203657	2.4178491593125262e-4	0.11044854324505138	0	0	0.17007847293702355	0.0045656825299523526	0.07984728856900913	0.03264388335875057	0.006301474187721767	9999
subcutaneous	Male	60-69	163	0	0.35159271979328816	1.1818797487576318e-5	0.00908523571714125	0.22783618513341042	0	0.10174836565963745	0	0	0.16947401083062227	0.006925584835954157	0.08314272005723351	0.04127469479508522	0.008908664380139918	9999
subcutaneous	Male	70-79	14	0	0.3410093308727881	0	0.011224286384307515	0.23821827071904822	0	0.09654009772701938	0	0	0.1911768304704595	2.5764224418533356e-4	0.10080828810076957	0.01958772941086115	0.0011775240705613158	9999
subcutaneous	Female	20-29	19	0	0.27797140902801476	6.970521172680368e-4	0.0072064895689333336	0.22413241206994103	0	0.11593002844860192	0	0	0.1983333576514411	0.016481679903873843	0.13426030254853638	0.004958207272589124	0.02002906139080052	9999
subcutaneous	Female	30-39	16	0	0.32810858213272887	0	0.00749122890243765	0.2141102442195557	0	0.1220257594529425	0	0	0.17691249819775837	0.016743406278480283	0.10675150173014429	0.006234711185727006	0.02162206790022554	9999
subcutaneous	Female	40-49	43	0	0.32209384433924537	6.681407020505016e-4	0.007804088666966432	0.23107880720050059	0	0.11616856459768844	0	0	0.1711925104078935	0.013892665125979234	0.10323118949711363	0.020043185366704942	0.01382700409585744	9999
subcutaneous	Female	50-59	76	1.548798155521646e-4	0.34805821724379615	9.308708335546408e-5	0.005228822486730865	0.22639088443096547	0	0.11399259644426411	0	0	0.1730946536050606	0.010587075798655502	0.09776598820358605	0.014140153967626964	0.010493640920406586	9999
subcutaneous	Female	60-69	70	2.2962177122550428e-4	0.33804437804524373	7.361367088653971e-5	0.010175889148992371	0.2368518232794884	0	0.10610695339254778	0	0	0.17546280108345355	0.007033635837808091	0.10013041913115565	0.015051040099505086	0.010839824539693328	9999
subcutaneous	Female	70-79	9	0	0.3460131034012516	0	0.004484000099227889	0.27273606346065543	0	0.12078177942639111	0	0	0.161658290668294	0.0028185342012685076	0.07277512720610245	0.018222641289304155	5.104602475046222e-4	9999
