depot	set_name	category	n_base	n_adj	peri_vs_pre_est_base	peri_vs_pre_p_base	post_vs_pre_est_base	post_vs_pre_p_base	peri_vs_pre_est_adj	peri_vs_pre_p_adj	post_vs_pre_est_adj	post_vs_pre_p_adj
subcutaneous	inflammation_cytokines	inflammation	233	233	0.1750885642026968	0.14127731613404196	0.16898576983746635	0.16043174666086524	0.006711699204390217	0.9496359864546178	0.017722869809016956	0.8694520402620712
subcutaneous	macrophage_markers	inflammation	233	233	0.08499506383547775	0.4656403621793762	0.060173799905712005	0.6095661550700757	0.04282127604225431	0.6913400584655405	0.03303865136669517	0.7627359189194562
subcutaneous	fibrosis_ecm	fibrosis	233	233	0.09215555533377709	0.24570631928231873	0.08194186454729696	0.30746072419484827	-0.04865161608257846	0.46078401026277027	-0.046350357635204016	0.48863819508197315
subcutaneous	senescence_ovx	senescence	233	233	0.2415019812626596	0.01862340912683252	0.34865290137244753	8.472182928458598e-4	0.03888885466970034	0.6039824641846389	0.1555984669686304	0.04173536791697797
subcutaneous	dnl_lipogenesis	metabolism	233	233	-0.2660748470824317	0.034186635019620853	-0.2686165196426621	0.03457012039441885	-0.033844902309007434	0.7294149004750823	-0.05271563473093013	0.5955454232361275
subcutaneous	adrenergic_beta	adrenergic	233	233	-0.12568783235327455	0.3036488685632482	-0.16105279899633396	0.19295685919931613	0.15642767088011691	0.09132059926211171	0.0936811587696738	0.31802295315681844
subcutaneous	adrenergic_alpha2	adrenergic	233	233	0.06063873119198121	0.49706937390740047	-0.013067483079218404	0.8849321055746691	0.030910621894252137	0.7271338082748855	-0.011974539329461716	0.8940178250123274
subcutaneous	tgfb_alk7_axis	catecholamine_resistance	233	233	-0.007649729574013068	0.9146096051421171	-0.07078944160265661	0.3272182223888652	0.025373539542406565	0.7217644203294237	-0.05302008111730037	0.4636082662633826
subcutaneous	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	233	233	0.13312975225778087	0.024898716308189302	0.125939148244049	0.03584511676491398	0.0594542376830008	0.26760247858702296	0.0586783202366077	0.280916274820119
subcutaneous	lipolysis_nodes	metabolism	233	233	-0.3848838754694369	0.0035092122614990466	-0.47262713772306064	4.190150722263867e-4	0.0038715257514083693	0.9473241051067283	-0.10934000856961076	0.06698600061246339
subcutaneous	thermogenesis_nodes	metabolism	233	233	-0.08643275428879324	0.2470462105260559	-0.0701697346955842	0.35271010726872176	-0.07562300442068184	0.3149855685081571	-0.028648254571992195	0.7073098119253873
visceral	inflammation_cytokines	inflammation	180	180	-0.05075951281360999	0.6607904950880954	-0.18809085836216363	0.10731728347692882	-0.07143705065695026	0.5178504902725998	-0.12287814125238244	0.27412053410276255
visceral	macrophage_markers	inflammation	180	180	0.15145384219334232	0.2681889084630997	0.0074094021863585205	0.9569963404628323	0.1367554963499031	0.18022108504766204	0.16686216063001982	0.10792658207400961
visceral	fibrosis_ecm	fibrosis	180	180	0.05921457103182981	0.4574508296913189	-0.043373323112605354	0.5884653859634001	0.05649755248331842	0.4026528502463499	-7.947654668012695e-4	0.9907447195241159
visceral	senescence_ovx	senescence	180	180	0.15220774030041648	0.15816501274564598	0.3327232416715976	0.0024117098747287644	0.1702751299459911	0.0770104304420266	0.3016598754595063	0.0022469239616805434
visceral	dnl_lipogenesis	metabolism	180	180	-0.33904818369235273	0.02921931790661236	-0.25063195110164127	0.10810328603108994	-0.2646845904561836	0.022429936851909835	-0.14352672149247228	0.2204910000846039
visceral	adrenergic_beta	adrenergic	180	180	-0.015637062000388367	0.9036600882282685	-0.17989465073967095	0.16757376724986903	0.05506251807204181	0.5783493188637068	-0.16578762899628585	0.10070506066139735
visceral	adrenergic_alpha2	adrenergic	180	180	-0.040054203623861	0.6934445414057193	-0.10704989142629653	0.29578402189073033	-0.05680097742660306	0.561399501236813	-0.05007490036638865	0.6142444921312845
visceral	tgfb_alk7_axis	catecholamine_resistance	180	180	0.1769736401171893	0.025510316583756586	0.04794717127730818	0.5449562760907571	0.180334984115179	0.017487858816512138	0.041824444244405026	0.5845434380878598
visceral	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	180	180	0.07878298448008988	0.27949040935354574	-0.009279533849276074	0.899104753825188	0.04696244935103809	0.4892904658671743	0.027236763497306568	0.692909927954573
visceral	lipolysis_nodes	metabolism	180	180	-0.055538913800610726	0.6979857836696095	-0.1900385163195003	0.18801171316396073	0.037965490170912206	0.5810680267538091	-0.10000699167994173	0.15353307457690535
visceral	thermogenesis_nodes	metabolism	180	180	-0.16909324070956386	0.08407120023149516	-0.14699904982208503	0.13517137498577708	-0.14496973567382224	0.12145885326242262	-0.12752501915409192	0.17955384898240523
