gene_symbol	comparison	log2FoldChange	padj
MTND1P23	30-39 vs 50-59	5.483421591473184	2.7621498513430734e-8
EYA4	30-39 vs 60-69	1.3679523937312794	4.2648427387254815e-4
GAL	30-39 vs 60-69	2.8550069034645276	5.977113139837131e-4
CSF3	30-39 vs 60-69	2.8907124551382246	5.977113139837131e-4
KRT15	30-39 vs 60-69	3.961287817174286	5.977113139837131e-4
GREM2	30-39 vs 50-59	2.2118906051165945	6.180660641106534e-4
ZNF117	30-39 vs 50-59	-1.1284996197142743	6.180660641106534e-4
MVP	30-39 vs 50-59	0.43841277993363836	6.812242402342762e-4
GJC2	30-39 vs 50-59	1.1215715875560655	7.960292939142104e-4
GJB2	30-39 vs 60-69	2.219365375953878	0.0010105079928048161
KRT223P	30-39 vs 60-69	3.744601823854662	0.0010105079928048161
HAPLN3	30-39 vs 60-69	0.904876382762962	0.0010121946181631948
EYA4	30-39 vs 50-59	0.997564481455503	0.0011696202218355808
MVP	30-39 vs 60-69	0.48152336419674224	0.0013593412354945898
GRIA1	40-49 vs 60-69	1.431564784969129	0.002055208604777195
KRT7	30-39 vs 60-69	1.9848763721482505	0.002783610074461856
ERV3-1	30-39 vs 50-59	-0.9228704766125727	0.003946374938981767
ABTB2	30-39 vs 50-59	0.8352589706615466	0.003946374938981767
ENSG00000280032	30-39 vs 50-59	1.7993099294913724	0.003946374938981767
FGF18	30-39 vs 60-69	1.5765756191127034	0.0039741773012335075
